Run,Episodes_Trained,Success_Rate,Average_Reward,Average_Steps,Success_Flags_Array
1,6100,0.2949180327868852,0.2949180327868852,29.49065573770492,[0 0 0 ... 0 0 1]
2,10100,0.3692079207920792,0.3692079207920792,35.31336633663366,[0 0 0 ... 0 1 0]
3,7800,0.3308974358974359,0.3308974358974359,33.116025641025644,[0 0 0 ... 0 1 1]
4,7500,0.31493333333333334,0.31493333333333334,32.986666666666665,[0 0 0 ... 1 0 0]
5,12100,0.3686776859504132,0.3686776859504132,37.50603305785124,[0 0 0 ... 0 1 1]
6,11000,0.37372727272727274,0.37372727272727274,36.70581818181818,[0 0 0 ... 1 0 0]
7,12400,0.38717741935483874,0.38717741935483874,37.526612903225804,[0 0 0 ... 0 1 1]
8,6400,0.2903125,0.2903125,31.05046875,[0 0 0 ... 1 1 1]
9,9500,0.35757894736842105,0.35757894736842105,35.05747368421053,[0 0 0 ... 0 0 1]
10,13400,0.3946268656716418,0.3946268656716418,38.07529850746268,[0 0 0 ... 1 1 1]
11,6400,0.304375,0.304375,29.74015625,[0 0 0 ... 1 0 0]
12,11500,0.38269565217391305,0.38269565217391305,36.82826086956522,[0 0 0 ... 1 0 0]
13,8200,0.3471951219512195,0.3471951219512195,33.72414634146342,[0 0 0 ... 0 1 1]
14,12800,0.38453125,0.38453125,38.275078125,[0 0 0 ... 0 0 1]
15,11800,0.39559322033898303,0.39559322033898303,36.732542372881355,[0 0 0 ... 1 1 1]
16,8600,0.33232558139534885,0.33232558139534885,34.46511627906977,[0 0 0 ... 0 1 0]
17,13000,0.4006153846153846,0.4006153846153846,37.78715384615385,[0 0 0 ... 1 1 1]
18,9100,0.35956043956043954,0.35956043956043954,35.01,[0 0 0 ... 1 1 1]
19,8100,0.3317283950617284,0.3317283950617284,33.428024691358026,[0 0 0 ... 0 1 1]
20,7600,0.3078947368421053,0.3078947368421053,32.709210526315786,[0 0 0 ... 0 1 0]
