Run,Episodes_Trained,Success_Rate,Average_Reward,Average_Steps,Success_Flags_Array
1,8000,0.33075,0.33075,33.585625,[0 0 0 ... 0 1 1]
2,10300,0.3611650485436893,0.3611650485436893,36.82970873786408,[0 0 0 ... 1 0 1]
3,6100,0.28688524590163933,0.28688524590163933,29.160819672131147,[0 0 0 ... 1 0 0]
4,14200,0.39507042253521124,0.39507042253521124,38.66654929577465,[0 0 0 ... 0 1 1]
5,15700,0.4029299363057325,0.4029299363057325,39.34031847133758,[0 0 0 ... 0 1 1]
6,15700,0.4148407643312102,0.4148407643312102,39.03420382165605,[0 0 0 ... 0 0 1]
7,9900,0.35444444444444445,0.35444444444444445,36.56010101010101,[0 0 0 ... 1 1 1]
8,16400,0.40158536585365856,0.40158536585365856,40.10445121951219,[0 0 0 ... 1 0 0]
9,6200,0.2717741935483871,0.2717741935483871,30.521451612903224,[0 0 0 ... 1 1 1]
10,7000,0.2917142857142857,0.2917142857142857,31.589714285714287,[0 0 0 ... 0 0 1]
11,10000,0.3538,0.3538,35.6764,[0 0 0 ... 1 0 0]
12,14000,0.4017857142857143,0.4017857142857143,38.45,[0 0 0 ... 0 0 0]
13,14700,0.39965986394557823,0.39965986394557823,38.319591836734695,[0 0 0 ... 1 0 0]
14,9100,0.3523076923076923,0.3523076923076923,34.58736263736264,[0 0 0 ... 1 0 0]
15,24600,0.4472357723577236,0.4472357723577236,40.77060975609756,[1 0 0 ... 0 1 1]
16,18300,0.41327868852459015,0.41327868852459015,40.19311475409836,[0 0 0 ... 0 0 1]
17,16800,0.40726190476190477,0.40726190476190477,39.4989880952381,[0 0 0 ... 0 0 1]
18,18700,0.4262566844919786,0.4262566844919786,40.0855614973262,[0 0 0 ... 0 0 0]
19,7900,0.3320253164556962,0.3320253164556962,33.6,[0 0 0 ... 1 0 0]
20,7300,0.3180821917808219,0.3180821917808219,32.842465753424655,[0 0 0 ... 1 1 1]
